id,vis,question,correct
462,d3_7,Which country has the lowest donation value?,PRT
463,d3_7,What is the difference donation value between USA and JPN?,10994200000
464,d3_7,Which country has donated the most with the exception of the United States?,JPN
465,d3_7,Which country has donated the most?,USA
466,d3_8,How much is it the rating of Italy?,49
467,d3_8,How much more does USA have than JPN?,11
468,d3_8,Why country has the highest rating?,NLD
469,d3_8,What rating does PRT have?,0
470,d3_8,Which country has the best rating?,NLD
471,d3_8,What's the difference between the rating of the France and the one of Japan?,14
472,d3_8,Which country has the worst rating?,PRT
473,d3_8,How much more does USA have than ITA?,4
474,d3_8,What's the sum of the rating of USA and Canada (CAN)?,107
475,d3_8,Which country has no rating?,PRT
476,d3_9,What is the highest amount of donations received by a country?,5472120000
477,d3_9,What is the difference between the highest amount of donations received by a country and the lowest amount received?,4650540000
478,d3_9,How many countries are listed?,20
479,d3_9,What is the difference in donations between the highest amount and the lowest amount received?,4650540000
480,d3_9,How much did TZA receive in donations?,1655460000
481,d3_9,Did IRQ receive less in donations that CHN?,No
482,d3_9,"How many countries received less than 1,000,000,000 in donations?",5
483,d3_9,Which country had the highest number in donations?,AFG
484,d3_9,What is the smallest amount of donations received by a country?,821580000
485,d3_9,"How many countries received more than 2,000,000,000 in donations?",6
486,10_0,What is the name of the chart we are measuring?,Aviation accidents and incidents
487,10_0,How many less deaths from 2001 to 2002?,2727
488,10_0,How many years are we tracking deaths?,14
489,10_0,How many aviation deaths were there in 2001?,4140
490,10_0,What was the most number of deaths in a single year?,4140
491,10_0,How many deaths were there in 2002 and 2003 combined?,2643
492,10_0,How many more deaths from 2004 until 2005?,688
493,10_0,Which year had the highest number of deaths?,2001
494,10_0,2011 had how many more deaths than 2012?,34
495,25_0,How many services had a total cost below 10 million pounds?,3
496,25_0,What is the value for BBC Radio 3?,54.3
497,25_0,What is the value for BBC Radio 1?,54.2
498,25_0,what is the value for BBC Asian network?,13
499,25_0,Which service had the lowest total cost?,BBC Radio 5 Live Sports Extra
500,25_0,What is the value for BBC Radio 2?,62.1
501,25_0,What is the value for BBC Radio 4?,122.1
502,25_0,Which service cost 122.1 million pounds?,BBC Radio 4
503,25_0,How many services were included along the x-axis?,16
504,25_0,How many services had a total cost above 50 million?,6
505,28_0,How many more Democratic Voters are there than Unaffiliated Voters?,1428
506,28_0,What is the total number of voters?,75186
507,28_0,How many voters are affiliated with Minor parties?,140
508,28_0,How many Minor Party Voters are there?,140
509,28_0,How many Democratic voters are there?,28608
510,28_0,How many Democratic voters are there?,28608
511,28_0,How many voters are affiliated with a party?,48006
512,28_0,How many more Democratic voters are there than Republican voters?,9350
513,28_0,How many more Unaffiliated Voters are there than Republican Voters?,7922
514,28_0,How many voters are affiliated with a party?,48006
515,28_0,How many more Unaffiliated voters are there than Republican voters?,7922
516,28_0,How many voters identify as Unaffiliated?,27180
517,28_0,How many more Democratic Voters are there than Republican Voters?,9350
518,28_0,How many more Democratic voters are there than Minor party voters?,28468
519,28_0,How many more Unaffiliated voters are there than Republican voters?,7922
520,33_0,What is the difference between Gojo and the highland?,1839.95
521,33_0,Which city has the largest area size?,"Gojo, Yoshino"
522,33_0,"How much taller is the bar for Gojo, Yahino than the bar for Yamato highland?",1839.95
523,33_0,What is the difference between the highland and the inland plain?,330.38
524,33_0,How much larger is the area of the inland plain relative to the highland size?,330.38
525,33_0,What is the value of the bar for Yamato flat inland plain?,837.27
526,33_0,How much is the difference between Gojo and the inland plain?,1509.57
527,33_0,What is the value of the shortest bar?,506.89
528,33_1,What is on the Y axis?,Population
529,33_1,"How much higher is the population of Gojo, Yoshino than Yamato highland?",36
530,33_1,What is the population of Yamato flat inland plain?,1282
531,33_1,What is the population of Yamato highland?,56
532,33_1,Approximiately what is the difference in population between Gojo and Yamato?,36
533,33_1,"What is the population of Gojo, Yoshino?",92
534,33_1,What is the approximate population of Yamato Highland?,56
535,33_1,Approximately what is the population of Gojo Yoshino?,100
536,33_1,What does the X axis represent?,District
537,33_1,What is the highest population in the chart?,1282
538,11,Which region has the smallest population?,North-East Skane
539,11,What is the total population of South Skane and West Skane?,989868
540,11,What is the population of the Danish Capital Region?,1823109
541,11,What is the difference in population between South Skane and Remainder?,75850
542,11,Which area has the least population?,North-East Skane
543,11,What is the population of the least populated region?,162829
544,11,What is the population difference between the North East Skane and Remainder?,445207
545,11,What is the difference in numbers between the most populated and least populated regions?,1660280
546,11,Which region has the largest population?,Danish Capital Region
547,11,What is the population of West Skane?,305982
548,11,"How many regions have a population lower than 500,000?",2
549,11,Which area has the most population?,Danish Capital Region
550,11,What is the population of the Danish Capital Region?,1823109
551,11,How much higher is the population of Remainder than North East Skane?,445207
552,11,What is the population of South Skane?,683886
553,46,what is the length of the perl bird category?,20
554,46,Which bird is the shortest in length?,Feudinge (Rppersbach)
555,46,By how much bigger is the Alna category compared to the Dautphe category?,10.3
556,46,what is the length of the Dill bird category?,55
557,46,By how much bigger is the AAR category compared to the Lumda category?,19.7
558,46,How long in length is the Ohm?,59.7
559,46,Which  bird is the longest in length?,Ohm
560,46,what is the length of the weil bird,46.6
561,46,How much shorter in length is the Dautphe than the Dill?,46.2
562,46,What is the difference in length of the Ilse and the Gelbach(Aubach)?,31.3
563,8_0,How many amphibians species have Belize and El Salvador together?,76
564,8_0,"Who has more Amphibians species: Costs Rica, or Panama?",Costa Rica
565,8_0,Which country has the highest amount of Amphibians?,Costa Rica
566,8_0,"Which country has more Amphibians, Costa Rica or Panama?",Costa Rica
567,8_0,Which country has the least amount of Amphibians?,El Salvador
568,8_0,Which country has the second fewest amount of Amphibians?,Belize
569,8_0,Does Costa Rica and Panama amphibians species account for more or less than the 50% of the total number of species?,less
570,8_0,How many less amphibians species have Honduras than Guatemala?,32
571,8_0,How many more Amphibians are located in Costa Rica versus El Salvador?,153
572,8_0,"How many amphibians species have Belize, Honduras, and Nicaragua together?",208
573,8_1,Which country has less than half as many bird species as Panama?,El Salvador
574,8_1,"Who has the most bird species, Guatemala or Honduras?",Honduras
575,8_1,Does Guatemala or Honduras have more bird species?,Honduras
576,8_1,Which country has the least number of bird species?,El Salvador
577,8_1,How many more bird species does Nicaragua have compared to El Salvador?,198
578,8_1,Which country has the most bird species?,Panama
579,8_1,About how many bird species are there in Panama?,904
580,8_1,Which country has the least bird species?,El Salvador
581,8_1,Which country has the most bird species?,Panama
582,8_1,How many bird species are there in Honduras?,699
583,48,What is the most passengers handled for any given airport?,828531
584,48,What is on the x-axis?,Airport
585,48,Who handled more passengers Bristol or Belfast City?,Bristol
586,48,What is the lowest passengers handled for any given airport?,100003
587,48,What is the number of passengers handled for Bristol?,239666
588,48,How many passengers did Belfast City handle?,100003
589,48,What airport handled the most passengers?,London Heathrow
590,48,What is the average of passengers handled over all airports?,319063.7
591,48,How many airports are shown?,10
592,48,What is on the y-axis?,Passengers handled
593,271_0,How many votes did Frank Dobson get?,14857
594,271_0,What is the sum of both Adrian Oliver and Margot James' votes?,9280
595,271_0,How much higher is Frank Dobson compared to Jill Fraser?,4787
596,271_0,How many votes did Margot James receive?,6482
597,271_0,How many more votes does Frank Dobson have in comparison to Adrian Oliver?,12059
598,271_0,Who has the lowest number of votes?,Rainbow George Weiss
599,271_0,Who is least likely to win?,Rainbow George Weiss
600,271_0,How many more votes did Margot James receive compared to Rainbow George Weiss?,6330
601,271_0,Who has roughly 5 votes?,Rainbow George Weiss
602,271_0,How many votes did Jill Fraser receive?,10070
603,271_1,How much more of a percentage does Margot James have over Rainbow George Weiss?,18.5
604,271_1,What is Majority's percentage?,13.9
605,271_1,what is Jill Fraser's percentage?,29.3
606,271_1,Who has the lowest percent?,Rainbow George Weiss
607,271_1,Who has the highest percent?,Frank Dobson
608,271_1,What percentage is Majority?,13.9
609,271_1,what is the difference in percentage of Adrian Oliver and Frank Dobson,35.1
610,271_1,What percent does Jill Fraser have?,29.3
611,271_1,How much more percentage does Frank Dobson have over Jill Fraser?,13.9
612,271_1,Who has the most percentage points?,Frank Dobson
613,59_0,Which two teams are tied for second place?,x-Houston Rockets|x-San Antonio Spurs.
614,59_0,What team has the least amount of wins in the Central Divison?,Detroit Pistons
615,59_0,What basketball team has the most wins in the Central Division?,y-Atlanta Hawks
616,59_0,What team had the least wins?,Detroit Pistons
617,59_0,What basketball teams have 41 wins in the Central Division?,x-Houston Rockets|x-San Antonio Spurs.
618,59_0,What team had the most wins?,y-Atlanta Hawks
619,59_0,How many teams are in the Central Division?,6
620,59_0,What basketball teams have 37 wins in the Central Division?,Cleveland Cavaliers|Indiana Pacers
621,59_1,What is the amount for Cleveland Cavaliers?,45
622,59_1,What is the difference in points of the Indiana Pacers and x-Houston Rockets?,4
623,59_1,How much more is the amount for the Detroit Pistons vs the Cleveland Cavaliers?,21
624,59_1,What is the amount for Detroit Pistons?,66
625,59_1,How many points did the Cleveland Cavaliers score?,45
626,59_1,How many more points did the Detroit Pistons get over the Cleveland Cavaliers?,21
627,59_1,Which basketball team has the least value on the graph?,y-Atlanta Hawks
628,59_1,Which team scored the lowest points?,y-Atlanta Hawks
629,59_1,What is the amount for San Antonio Spurs?,41
